first_coin	second_coin	exchanges	exchanges_count	volume_usd
ETH	USDC	hitbtc/coinbase/idex/binance	4	353298
BTC	ETH	hitbtc/binance/coinbase	3	25214169
BTC	EOS	coinbase/binance/hitbtc	3	24028372
BTC	LTC	binance/hitbtc/coinbase	3	18302127
BTC	XRP	binance/hitbtc/coinbase	3	15317783
BTC	ETC	binance/coinbase/hitbtc	3	4962024
BTC	XLM	coinbase/hitbtc/binance	3	4279004
BTC	ZRX	hitbtc/coinbase/binance	3	890687
BTC	REP	binance/coinbase/hitbtc	3	608169
BTC	USDC	coinbase/binance/hitbtc	3	394442
ETH	TUSD	idex/hitbtc/binance	3	290261
BAT	ETH	hitbtc/idex/binance	3	239508
TUSD	USDC	idex/binance/hitbtc	3	203012
ENJ	ETH	idex/hitbtc/binance	3	151114
ETH	REP	idex/hitbtc/binance	3	117011
ETH	EVX	idex/binance/hitbtc	3	106921
DAI	USDC	coinbase/hitbtc/idex	3	103028
ETH	OMG	idex/binance/hitbtc	3	96850
ETH	ZRX	hitbtc/binance/idex	3	84139
DENT	ETH	hitbtc/idex/binance	3	73249
ETH	VIB	binance/hitbtc/idex	3	54684
ETH	MCO	binance/idex/hitbtc	3	53430
ARN	ETH	hitbtc/idex/binance	3	35473
ETH	TNT	idex/binance/hitbtc	3	25391
ADX	ETH	idex/hitbtc/binance	3	24228
AMB	ETH	hitbtc/binance/idex	3	20398
ETH	GVT	binance/hitbtc/idex	3	16783
ETH	PPT	idex/binance/hitbtc	3	15200
ETH	LRC	binance/idex/hitbtc	3	14278
ETH	MANA	binance/idex/hitbtc	3	14206
ENG	ETH	hitbtc/idex/binance	3	11505
ETH	MTH	binance/idex/hitbtc	3	10612
EDO	ETH	idex/binance/hitbtc	3	9970
ETH	FUN	binance/hitbtc/idex	3	9293
APPC	ETH	binance/idex/hitbtc	3	9029
CDT	ETH	binance/hitbtc/idex	3	8278
ETH	SNT	idex/hitbtc/binance	3	7298
ETH	POE	binance/hitbtc/idex	3	6232
BNT	ETH	binance/hitbtc/idex	3	5881
CND	ETH	hitbtc/idex/binance	3	4800
ETH	LEND	binance/hitbtc/idex	3	4570
ETH	RCN	idex/hitbtc/binance	3	4221
DATA	ETH	hitbtc/binance/idex	3	3913
ETH	POWR	binance/idex/hitbtc	3	3826
ETH	SALT	idex/hitbtc/binance	3	13
BTC	USD	hitbtc/coinbase	2	82182202
LTC	USD	coinbase/hitbtc	2	50394276
ETH	USD	hitbtc/coinbase	2	45014921
BNB	BTC	hitbtc/binance	2	24396315
EOS	USD	hitbtc/coinbase	2	23770749
